작성일,평점,공감수,내용
2020-2-20,4,1,자동정리 되는건 좋아요 근데 자꾸 말사진(히히힝 말 맞음)이 같이들어가네용.. 그리고 왠진 모르겠는데 연예인 사진도 같이 들어가요..한두장이거나 연예인이 강아지를 안고있으면 모르겠는데 계속 같이 들어가니까 분리할때 조금 힘들어요.. 그것빼고는 전부 괜찮은것같아요. 사진정리할때 시간이 적게들어서 좋아요
2020-2-21,5,0,사진이 스스로 분류가 되고 심지어 날짜까지 표시가 되니깐 한눈에 볼 수 있어서 좋네요ㅎ 처음시작할때 이름이랑 나이등을 물어보는 프로그램(?)이 ( 개인적으로 ) 재밌습니다 추천 할 만한 앱이에요👍
2020-2-15,5,2,이 앱 정말 좋아욥!!!! 우리 강아지 사진을 조금 특별하게 남기고 싶다면 이 앱 꼭 추천합니당~~~ 저희도 이 앱 잘쓰고 있어요 우리 댕댕이의 추억을 간직하고 싶으면 다를 앱보다 포에버가 짱!!!!이예욥 우리 강아지 사진만 골라주니까 갤러리에서 일일이 않 찾아도 되니까 좋아욥 진짜진짜 강추드립니당
2020-2-18,2,0,앨범에 저희 강아지 다른 사진도 추가 할 수 있는 기능도 넣어주세요.^^갤러리에 있는 사진만 불러오는데 사진어플에서 불러와서 다른 사진도 추가할 수 있게 해주세요.
2020-2-19,5,2,너무 좋은데 강아지를 두마리 키우고있는데ㅜㅜ한마리밖에 등록이안되서 너무 아쉬워요..생일이나 정보 저장할수있게 더 추가등록되었으면 진짜 완벽할거같아여ㅠㅠ
2020-2-14,5,1,핸드폰을 바꾸면서 갤러리가 뒤죽박죽되었는데 폴더 싹정리해서 볼수있어서 좋아요 어릴때사진찾는것도 금방이라 ㅎㅎ 근데 우리강아지는 잠만자서..폴더가 다 잠관련이네욬ㅋㅋㅋㅋㅋ
2020-2-9,5,7,저는 강아지말고 고양이를 키우는데 일단 이앱을 사용하고 있어요! 저희 고양이 사진볼때 정말 유용하고 편리해요 혹시 나중에 고양이버전도 만들주실수있나요 ? ㅜㅠ
2020-2-13,5,0,정말 너무너무 만족하는 어플이에요! 가끔 제 사진도 들어갈때가 있지만..ㅎ 너무 좋아서 잘쓰고 있습니다! 감사합니다
2020-2-9,5,1,진짜 너무 좋아요♡♡ 갤러리에서 일일이 강아지 사진 찾아보는게 귀찮았는데 이앱 덕분에 전혀 그렇지 않아요! 이앱 강추합니다!
2020-2-12,5,0,사랑스러워미칠것같아요ㅠㅠㅠ 가끔씩 안올라가는 사진들도 있고 잘못올라가는 사진도있지만 이렇게 모아준것만으로도 행복🥰🥰🥰
2020-2-14,5,0,강아지 사진을 일일이 찾지 않아도 되니까 편리해요 무엇보다 어플 자체가 너무 사랑스러워서 볼 때마다 기분이 좋아집니다♡
2020-2-8,5,0,"엄청좋아요.반려견생일이얼마나남아있는지고알수가있고요,,엄청 좋아유 추천드립니드아!~~"
2020-2-11,5,0,앱 사용시 불편함도 없고 사진을 다정리해주니 넘조아여 꼭 울애기가 말하는거같이 귀엽구ㅋㅋ 근데 저흰 다견가정이라서 다견가정을 위해 두마리나 세마리까지 등록이 되면 최고일거같아서 글남겨요:)
2020-2-13,5,0,진짜 처음 시작할때부터 넘나리 귀여워보이고 하나하나 제작자님 센스가 보이는 앱ㅎㅎ 레알 이쁜 내새꾸만 볼 수 있으니까 행보쿠
2020-2-12,5,0,찍어둔 사진을 나름 카테고리별로 정리 잘해줌. 유용함.
2020-2-17,4,0,조는 냐옹이 키우는데..ㅠ.ㅠ 그점이 아쉽네요 그래도 조아용 나름 귀여운 소제목? 붙여서 앨범 정리가 되어있던데 넘귀..🤩🤩
